url,header,description,keywords
https://www.cbsnews.com/news/the-long-shadow-of-claude-monet-denver-art-museum-art-institute-of-chicago/,The long shadow of Claude Monet,"In Denver the country's largest Monet exhibit in more than two decades, and another upcoming exhibition in Chicago, celebrate the Impressionist master whose work inspired 20th century art movements","claude monet, Impressionist, Barry Petersen, impressionism, Denver Art Museum, Art Institute of Chicago"
https://www.cbsnews.com/news/dumplings-a-delicious-tradition/,Dumplings: A delicious tradition,"Though found in most every cuisine, dumplings are an everyday staple for Chinese families around the world – and an important custom as Lunar New Year celebrations begin","dim sum, Tim Ho Wan, dumplings, Kelefa Sanneh, chinese cuisine, Wen Zhou, chinese food, Lei Ping"
https://www.cbsnews.com/news/the-mystery-of-the-reappearing-klimt-painting-portrait-of-a-lady/,The mystery of the reappearing Klimt painting,"""Portrait of a Lady"" vanished from an Italian art gallery 23 years ago – and then just as mysteriously turned up last month, hidden within the gallery's walls","italy, seth doane, art mystery, missing artwork, gustav klimt, portrait of a lady"
https://www.cbsnews.com/news/a-fruitful-life-remembering-frieda-caplan-the-exotic-fruit-lady/,"A fruitful life: Remembering Frieda Caplan, the exotic fruit lady","The entrepreneur, who died Saturday at age 96, made a number of exotic fruits and vegetables, from kiwi to ginger, household names","kiwi fruit, Rita Braver, Frieda Caplan, Frieda&#039;s Specialty Produce​"
https://www.cbsnews.com/news/laura-dern-marriage-story-little-women/,The year of Laura Dern,"The actress stars in two Oscar-nominated movies, and is nominated for an Academy Award for her performance as a razor-sharp divorce lawyer in ""Marriage Story""","bruce dern, tracy smith, Marriage Story, Diane Ladd, Little Women, Blue Velvet, Jurassic Park, Laura Dern"
https://www.cbsnews.com/news/mumford-and-sons-delta/,"Mumford & Sons on playing with a ""sense of abandon""","With the recent release of ""Delta,"" their third straight #1 album, the British group that broke through with a banjo-driven folk/rock sound are indisputably among the biggest bands of the past decade","Ted Dwane, anthony mason, Winston Campbell, Marcus Mumford, Mumford and Sons, Mumford &amp; Sons, Ben Lovett"
https://www.cbsnews.com/news/transcript-rep-jerry-nadler-on-face-the-nation-january-19-2020/,"Transcript: Rep. Jerry Nalder on ""Face the Nation""","The following is a transcript of an interview with Representative Jerry Nadler that aired Sunday, January 19, 2020, on ""Face the Nation.","face the nation, impeachment, resolution, united states house of representatives, livestream, donald trump, voting, nancy pelosi, efforts to impeach donald trump, impeachment managers, News program, transcript"
https://www.cbsnews.com/news/trump-impeachment-cornyn-says-democrats-getting-cold-feet-on-impeachment-on-face-the-nation/,"Cornyn says Democrats are ""getting cold feet"" on impeachment","""Maybe they ought to withdraw the articles of impeachment and start over again,"" the majority whip said.","john cornyn, resolution, face the nation, impeachment managers, impeachment, Donald Trump, News program, United States House of Representatives"
https://www.cbsnews.com/news/transcript-sen-john-cornyn-on-face-the-nation-january-19-2020/,"Transcript: Sen. John Cornyn on ""Face the Nation""","The following is a transcript of an interview with Senator John Cornyn that aired Sunday, January 19, 2020, on ""Face the Nation.","face the nation, impeachment, resolution, united states house of representatives, livestream, donald trump, voting, nancy pelosi, efforts to impeach donald trump, News program, transcript"
https://www.cbsnews.com/news/premature-births-one-of-the-biggest-public-health-threats-facing-the-u-s/,Premature births: One of the biggest public health threats facing the U.S.,"One in 10 births in this country is premature, one of the highest rates in the industrialized world; author Sarah DiGregorio says we must do better","preemie, Sarah DiGregorio, premature birth, premature birth rate, premature baby"
